I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Read		6m		1m		6		1		0.231075s
Read		6m		1m		6		2		0.23258s
Read		6m		1m		6		3		0.24118s
Total_Read		4m		1m		6		4		0.237835s
AIO_Write		6m		1m		6		4		0.046546s
AIO_Read		6m		1m		6		4		0.020688s
MMap_Write		6m		1m		6		4		0.034088s
MMap_Read		6m		1m		6		4		0.014541s
UMmap_Write		6m		1m		6		4		0.038163s
UMmap_Read		6m		1m		6		4		0.038084s
Write		6m		1m		0		6		0.212692s
Write		6m		1m		1		6		0.238202s
Write		6m		1m		2		6		0.186516s
Write		6m		1m		3		6		0.231816s
Write		6m		1m		4		6		0.235201s
Write		6m		1m		5		6		0.228962s
Total_Write		6m		1m		6		6		0.222231s
Read		6m		1m		6		0		0.241987s
Read		6m		1m		6		1		0.23705s
Read		6m		1m		6		2		0.239962s
Read		6m		1m		6		3		0.231782s
Read		6m		1m		6		4		0.246345s
Read		6m		1m		6		5		0.215352s
Total_Read		6m		1m		6		6		0.235413s
AIO_Write		6m		1m		6		6		0.042791s
AIO_Read		6m		1m		6		6		0.022969s
MMap_Write		6m		1m		6		6		0.0364s
MMap_Read		6m		1m		6		6		0.021153s
UMmap_Write		6m		1m		6		6		0.040175s
UMmap_Read		6m		1m		6		6		0.049118s
Write		8m		1m		0		1		0.213862s
Write		8m		1m		1		1		0.184214s
Write		8m		1m		2		1		0.166549s
Write		8m		1m		3		1		0.202668s
Write		8m		1m		4		1		0.235299s
Write		8m		1m		5		1		0.237292s
Write		8m		1m		6		1		0.242489s
Write		8m		1m		7		1		0.248116s
Total_Write		8m		1m		8		1		0.216311s
Read		8m		1m		8		0		0.245619s
Total_Read		1m		1m		8		1		0.245619s
AIO_Write		8m		1m		8		1		0.052666s
AIO_Read		8m		1m		8		1		0.009695s
MMap_Write		8m		1m		8		1		0.049766s
MMap_Read		8m		1m		8		1		0.010862s
UMmap_Write		8m		1m		8		1		0.049391s
UMmap_Read		8m		1m		8		1		0.018554s
Write		8m		1m		0		2		0.209997s
Write		8m		1m		1		2		0.233428s
Write		8m		1m		2		2		0.173263s
Write		8m		1m		3		2		0.225949s
Write		8m		1m		4		2		0.243361s
Write		8m		1m		5		2		0.239006s
Write		8m		1m		6		2		0.20443s
Write		8m		1m		7		2		0.227627s
Total_Write		8m		1m		8		2		0.219633s
Read		8m		1m		8		0		0.295021s
Read		8m		1m		8		1		0.246059s
Total_Read		2m		1m		8		2		0.27054s
AIO_Write		8m		1m		8		2		0.058171s
AIO_Read		8m		1m		8		2		0.016324s
MMap_Write		8m		1m		8		2		0.046389s
MMap_Read		8m		1m		8		2		0.014448s
UMmap_Write		8m		1m		8		2		0.04811s
UMmap_Read		8m		1m		8		2		0.021987s
Write		8m		1m		0		4		0.214523s
Write		8m		1m		1		4		0.177847s
Write		8m		1m		2		4		0.164399s
Write		8m		1m		3		4		0.175263s
Write		8m		1m		4		4		0.241978s
Write		8m		1m		5		4		0.245114s
Write		8m		1m		6		4		0.227994s
Write		8m		1m		7		4		0.230386s
Total_Write		8m		1m		8		4		0.209688s
Read		8m		1m		8		0		0.240516s
Read		8m		1m		8		1		0.248503s
Read		8m		1m		8		2		0.229136s
Read		8m		1m		8		3		0.22201s
Total_Read		4m		1m		8		4		0.235041s
AIO_Write		8m		1m		8		4		0.059187s
AIO_Read		8m		1m		8		4		0.021085s
MMap_Write		8m		1m		8		4		0.042266s
MMap_Read		8m		1m		8		4		0.016053s
UMmap_Write		8m		1m		8		4		0.052492s
UMmap_Read		8m		1m		8		4		0.034728s
Write		8m		1m		0		6		0.132403s
Write		8m		1m		1		6		0.130431s
Write		8m		1m		2		6		0.159128s
Write		8m		1m		3		6		0.210593s
Write		8m		1m		4		6		0.214789s
Write		8m		1m		5		6		0.161573s
Write		8m		1m		6		6		0.211692s
Write		8m		1m		7		6		0.246864s
Total_Write		8m		1m		8		6		0.183434s
Read		8m		1m		8		0		0.241602s
Read		8m		1m		8		1		0.240707s
Read		8m		1m		8		2		0.236462s
Read		8m		1m		8		3		0.251696s
Read		8m		1m		8		4		0.247462s
Read		8m		1m		8		5		0.240433s
Total_Read		6m		1m		8		6		0.24306s
AIO_Write		8m		1m		8		6		0.050397s
AIO_Read		8m		1m		8		6		0.030164s
MMap_Write		8m		1m		8		6		0.038556s
MMap_Read		8m		1m		8		6		0.018954s
UMmap_Write		8m		1m		8		6		0.063326s
UMmap_Read		8m		1m		8		6		0.058126s
Write		8m		1m		0		8		0.237513s
Write		8m		1m		1		8		0.227216s
Write		8m		1m		2		8		0.188302s
Write		8m		1m		3		8		0.213406s
Write		8m		1m		4		8		0.240641s
Write		8m		1m		5		8		0.244889s
Write		8m		1m		6		8		0.238665s
Write		8m		1m		7		8		0.240855s
Total_Write		8m		1m		8		8		0.228936s
Read		8m		1m		8		0		0.225026s
Read		8m		1m		8		1		0.227428s
Read		8m		1m		8		2		0.244819s
Read		8m		1m		8		3		0.239138s
Read		8m		1m		8		4		0.245508s
Read		8m		1m		8		5		0.226938s
Read		8m		1m		8		6		0.180526s
Read		8m		1m		8		7		0.216344s
Total_Read		8m		1m		8		8		0.225716s
AIO_Write		8m		1m		8		8		0.054957s
AIO_Read		8m		1m		8		8		0.033311s
MMap_Write		8m		1m		8		8		0.048282s
MMap_Read		8m		1m		8		8		0.026145s
UMmap_Write		8m		1m		8		8		0.045848s
UMmap_Read		8m		1m		8		8		0.067605s
Write		10m		1m		0		1		0.199784s
Write		10m		1m		1		1		0.175528s
Write		10m		1m		2		1		0.190327s
Write		10m		1m		3		1		0.229103s
Write		10m		1m		4		1		0.245818s
Write		10m		1m		5		1		0.239082s
Write		10m		1m		6		1		0.237344s
Write		10m		1m		7		1		0.23514s
Write		10m		1m		8		1		0.244212s
Write		10m		1m		9		1		0.242121s
Total_Write		10m		1m		10		1		0.223846s
Read		10m		1m		10		0		0.246054s
Total_Read		1m		1m		10		1		0.246054s
AIO_Write		10m		1m		10		1		0.062092s
AIO_Read		10m		1m		10		1		0.00906s
MMap_Write		10m		1m		10		1		0.052093s
MMap_Read		10m		1m		10		1		0.01408s
UMmap_Write		10m		1m		10		1		0.067333s
UMmap_Read		10m		1m		10		1		0.026301s
Write		10m		1m		0		2		0.367916s
Write		10m		1m		1		2		0.260285s
Write		10m		1m		2		2		0.343293s
Write		10m		1m		3		2		0.277582s
Write		10m		1m		4		2		0.330419s
Write		10m		1m		5		2		0.260232s
Write		10m		1m		6		2		0.223634s
Write		10m		1m		7		2		0.249034s
Write		10m		1m		8		2		0.235983s
Write		10m		1m		9		2		0.290651s
Total_Write		10m		1m		10		2		0.283903s
Read		10m		1m		10		0		0.26233s
Read		10m		1m		10		1		0.434249s
Total_Read		2m		1m		10		2		0.34829s
AIO_Write		10m		1m		10		2		0.110274s
AIO_Read		10m		1m		10		2		0.016328s
MMap_Write		10m		1m		10		2		0.109778s
MMap_Read		10m		1m		10		2		0.01553s
UMmap_Write		10m		1m		10		2		0.075256s
UMmap_Read		10m		1m		10		2		0.024184s
Write		10m		1m		0		4		0.183841s
Write		10m		1m		1		4		0.233848s
Write		10m		1m		2		4		0.264161s
Write		10m		1m		3		4		0.220957s
Write		10m		1m		4		4		0.235616s
Write		10m		1m		5		4		0.254929s
Write		10m		1m		6		4		0.251792s
Write		10m		1m		7		4		0.251012s
Write		10m		1m		8		4		0.247632s
Write		10m		1m		9		4		0.244047s
Total_Write		10m		1m		10		4		0.238783s
Read		10m		1m		10		0		0.399109s
Read		10m		1m		10		1		0.28661s
Read		10m		1m		10		2		0.251812s
Read		10m		1m		10		3		0.244099s
Total_Read		4m		1m		10		4		0.295407s
AIO_Write		10m		1m		10		4		0.079355s
AIO_Read		10m		1m		10		4		0.026861s
MMap_Write		10m		1m		10		4		0.062263s
MMap_Read		10m		1m		10		4		0.016843s
UMmap_Write		10m		1m		10		4		0.07135s
UMmap_Read		10m		1m		10		4		0.050645s
Write		10m		1m		0		6		0.244692s
Write		10m		1m		1		6		0.233283s
Write		10m		1m		2		6		0.254107s
Write		10m		1m		3		6		0.186603s
Write		10m		1m		4		6		0.168467s
Write		10m		1m		5		6		0.262545s
Write		10m		1m		6		6		0.267106s
Write		10m		1m		7		6		0.233432s
Write		10m		1m		8		6		0.249815s
Write		10m		1m		9		6		0.227485s
Total_Write		10m		1m		10		6		0.232754s
Read		10m		1m		10		0		0.250618s
Read		10m		1m		10		1		0.242243s
Read		10m		1m		10		2		0.229681s
Read		10m		1m		10		3		0.253173s
Read		10m		1m		10		4		0.256902s
Read		10m		1m		10		5		0.248781s
Total_Read		6m		1m		10		6		0.2469s
AIO_Write		10m		1m		10		6		0.068571s
AIO_Read		10m		1m		10		6		0.038425s
MMap_Write		10m		1m		10		6		0.084489s
MMap_Read		10m		1m		10		6		0.019214s
UMmap_Write		10m		1m		10		6		0.090493s
UMmap_Read		10m		1m		10		6		0.078309s
Write		10m		1m		0		8		0.24898s
Write		10m		1m		1		8		0.23328s
Write		10m		1m		2		8		0.23066s
Write		10m		1m		3		8		0.241729s
Write		10m		1m		4		8		0.246948s
Write		10m		1m		5		8		0.248269s
Write		10m		1m		6		8		0.230105s
Write		10m		1m		7		8		0.241612s
Write		10m		1m		8		8		0.262124s
Write		10m		1m		9		8		0.248741s
Total_Write		10m		1m		10		8		0.243245s
Read		10m		1m		10		0		0.253681s
Read		10m		1m		10		1		0.233815s
Read		10m		1m		10		2		0.249312s
Read		10m		1m		10		3		0.252736s
Read		10m		1m		10		4		0.275186s
Read		10m		1m		10		5		0.227741s
Read		10m		1m		10		6		0.245913s
Read		10m		1m		10		7		0.247587s
Total_Read		8m		1m		10		8		0.248246s
AIO_Write		10m		1m		10		8		0.071194s
AIO_Read		10m		1m		10		8		0.043509s
MMap_Write		10m		1m		10		8		0.065285s
MMap_Read		10m		1m		10		8		0.025629s
UMmap_Write		10m		1m		10		8		0.058084s
UMmap_Read		10m		1m		10		8		0.060665s
Write		10m		1m		0		10		0.188431s
Write		10m		1m		1		10		0.184917s
Write		10m		1m		2		10		0.220906s
Write		10m		1m		3		10		0.186539s
Write		10m		1m		4		10		0.239505s
Write		10m		1m		5		10		0.252853s
Write		10m		1m		6		10		0.220495s
Write		10m		1m		7		10		0.248849s
Write		10m		1m		8		10		0.238933s
Write		10m		1m		9		10		0.247526s
Total_Write		10m		1m		10		10		0.222895s
Read		10m		1m		10		0		0.245245s
Read		10m		1m		10		1		0.231656s
Read		10m		1m		10		2		0.246238s
Read		10m		1m		10		3		0.243988s
Read		10m		1m		10		4		0.248782s
Read		10m		1m		10		5		0.180701s
Read		10m		1m		10		6		0.239196s
Read		10m		1m		10		7		0.241762s
Read		10m		1m		10		8		0.239874s
Read		10m		1m		10		9		0.240068s
Total_Read		10m		1m		10		10		0.235751s
AIO_Write		10m		1m		10		10		0.073346s
AIO_Read		10m		1m		10		10		0.049778s
MMap_Write		10m		1m		10		10		0.05931s
MMap_Read		10m		1m		10		10		0.026495s
UMmap_Write		10m		1m		10		10		0.057466s
UMmap_Read		10m		1m		10		10		0.072249s
Write		10m		10m		0		1		0.286408s
Total_Write		10m		10m		1		1		0.286408s
Read		10m		10m		1		0		0.272044s
Total_Read		10m		10m		1		1		0.272044s
AIO_Write		10m		10m		1		1		0.062541s
AIO_Read		10m		10m		1		1		0.038976s
MMap_Write		10m		10m		1		1		0.080829s
MMap_Read		10m		10m		1		1		0.084624s
UMmap_Write		10m		10m		1		1		0.071738s
UMmap_Read		10m		10m		1		1		0.116681s
Write		20m		10m		0		1		0.182352s
Write		20m		10m		1		1		0.203231s
Total_Write		20m		10m		2		1		0.192792s
Read		20m		10m		2		0		0.172509s
Total_Read		10m		10m		2		1		0.172509s
AIO_Write		20m		10m		2		1		0.223924s
AIO_Read		20m		10m		2		1		0.049885s
MMap_Write		20m		10m		2		1		0.129794s
MMap_Read		20m		10m		2		1		0.073909s
UMmap_Write		20m		10m		2		1		0.125921s
UMmap_Read		20m		10m		2		1		0.132224s
Write		20m		10m		0		2		0.233785s
Write		20m		10m		1		2		0.298331s
Total_Write		20m		10m		2		2		0.266058s
Read		20m		10m		2		0		0.271955s
Read		20m		10m		2		1		0.270761s
Total_Read		20m		10m		2		2		0.271358s
AIO_Write		20m		10m		2		2		0.216548s
AIO_Read		20m		10m		2		2		0.086102s
MMap_Write		20m		10m		2		2		0.144985s
MMap_Read		20m		10m		2		2		0.107322s
UMmap_Write		20m		10m		2		2		0.110959s
UMmap_Read		20m		10m		2		2		0.15947s
Write		40m		10m		0		1		0.280255s
Write		40m		10m		1		1		0.276807s
Write		40m		10m		2		1		0.244958s
Write		40m		10m		3		1		0.295231s
Total_Write		40m		10m		4		1		0.274313s
Read		40m		10m		4		0		0.274471s
Total_Read		10m		10m		4		1		0.274471s
AIO_Write		40m		10m		4		1		0.224202s
AIO_Read		40m		10m		4		1		0.041454s
MMap_Write		40m		10m		4		1		0.230818s
MMap_Read		40m		10m		4		1		0.084329s
UMmap_Write		40m		10m		4		1		0.228894s
UMmap_Read		40m		10m		4		1		0.102791s
Write		40m		10m		0		2		0.24437s
Write		40m		10m		1		2		0.300139s
Write		40m		10m		2		2		0.261574s
Write		40m		10m		3		2		0.259602s
Total_Write		40m		10m		4		2		0.266421s
Read		40m		10m		4		0		0.277664s
Read		40m		10m		4		1		0.271947s
Total_Read		20m		10m		4		2		0.274806s
AIO_Write		40m		10m		4		2		0.221157s
AIO_Read		40m		10m		4		2		0.081361s
MMap_Write		40m		10m		4		2		0.223109s
MMap_Read		40m		10m		4		2		0.085916s
UMmap_Write		40m		10m		4		2		0.201097s
UMmap_Read		40m		10m		4		2		0.151492s
Write		40m		10m		0		4		0.220433s
Write		40m		10m		1		4		0.269258s
Write		40m		10m		2		4		0.242562s
Write		40m		10m		3		4		0.273592s
Total_Write		40m		10m		4		4		0.251461s
Read		40m		10m		4		0		0.275388s
Read		40m		10m		4		1		0.273759s
Read		40m		10m		4		2		0.277135s
Read		40m		10m		4		3		0.275275s
Total_Read		40m		10m		4		4		0.275389s
AIO_Write		40m		10m		4		4		0.220642s
AIO_Read		40m		10m		4		4		0.122817s
MMap_Write		40m		10m		4		4		0.197564s
MMap_Read		40m		10m		4		4		0.144197s
UMmap_Write		40m		10m		4		4		0.200463s
UMmap_Read		40m		10m		4		4		0.263435s
Write		60m		10m		0		1		0.271268s
Write		60m		10m		1		1		0.288142s
Write		60m		10m		2		1		0.184198s
Write		60m		10m		3		1		0.268922s
Write		60m		10m		4		1		0.267632s
Write		60m		10m		5		1		0.272548s
Total_Write		60m		10m		6		1		0.258785s
Read		60m		10m		6		0		0.275127s
Total_Read		10m		10m		6		1		0.275127s
AIO_Write		60m		10m		6		1		0.325888s
AIO_Read		60m		10m		6		1		0.036741s
MMap_Write		60m		10m		6		1		0.277658s
MMap_Read		60m		10m		6		1		0.093549s
UMmap_Write		60m		10m		6		1		0.283057s
UMmap_Read		60m		10m		6		1		0.125301s
Write		60m		10m		0		2		0.229888s
Write		60m		10m		1		2		0.264499s
Write		60m		10m		2		2		0.216795s
Write		60m		10m		3		2		0.276414s
Write		60m		10m		4		2		0.278667s
Write		60m		10m		5		2		0.282192s
Total_Write		60m		10m		6		2		0.258076s
Read		60m		10m		6		0		0.221891s
Read		60m		10m		6		1		0.261737s
Total_Read		20m		10m		6		2		0.241814s
AIO_Write		60m		10m		6		2		0.511426s
AIO_Read		60m		10m		6		2		0.085449s
MMap_Write		60m		10m		6		2		0.35436s
MMap_Read		60m		10m		6		2		0.108268s
UMmap_Write		60m		10m		6		2		0.405314s
UMmap_Read		60m		10m		6		2		0.159238s
Write		60m		10m		0		4		0.297069s
Write		60m		10m		1		4		0.304756s
Write		60m		10m		2		4		0.19995s
Write		60m		10m		3		4		0.194608s
Write		60m		10m		4		4		0.282523s
Write		60m		10m		5		4		0.27798s
Total_Write		60m		10m		6		4		0.259481s
Read		60m		10m		6		0		0.255137s
Read		60m		10m		6		1		0.275707s
Read		60m		10m		6		2		0.267096s
Read		60m		10m		6		3		0.281133s
Total_Read		40m		10m		6		4		0.269768s
AIO_Write		60m		10m		6		4		0.33381s
AIO_Read		60m		10m		6		4		0.134296s
MMap_Write		60m		10m		6		4		0.289984s
MMap_Read		60m		10m		6		4		0.126701s
UMmap_Write		60m		10m		6		4		0.253197s
UMmap_Read		60m		10m		6		4		0.263373s
Write		60m		10m		0		6		0.294135s
Write		60m		10m		1		6		0.291248s
Write		60m		10m		2		6		0.208619s
Write		60m		10m		3		6		0.257665s
Write		60m		10m		4		6		0.255414s
Write		60m		10m		5		6		0.277607s
Total_Write		60m		10m		6		6		0.264115s
Read		60m		10m		6		0		0.274473s
Read		60m		10m		6		1		0.277158s
Read		60m		10m		6		2		0.277622s
Read		60m		10m		6		3		0.27862s
Read		60m		10m		6		4		0.285237s
Read		60m		10m		6		5		0.26058s
Total_Read		60m		10m		6		6		0.275615s
AIO_Write		60m		10m		6		6		0.32193s
AIO_Read		60m		10m		6		6		0.17691s
MMap_Write		60m		10m		6		6		0.303553s
MMap_Read		60m		10m		6		6		0.136035s
UMmap_Write		60m		10m		6		6		0.261894s
UMmap_Read		60m		10m		6		6		0.293254s
Write		80m		10m		0		1		0.286899s
Write		80m		10m		1		1		0.248675s
Write		80m		10m		2		1		0.243373s
Write		80m		10m		3		1		0.276075s
Write		80m		10m		4		1		0.208387s
Write		80m		10m		5		1		0.182857s
Write		80m		10m		6		1		0.255028s
Write		80m		10m		7		1		0.28018s
Total_Write		80m		10m		8		1		0.247684s
Read		80m		10m		8		0		0.265697s
Total_Read		10m		10m		8		1		0.265697s
AIO_Write		80m		10m		8		1		0.510288s
AIO_Read		80m		10m		8		1		0.037138s
MMap_Write		80m		10m		8		1		0.344122s
MMap_Read		80m		10m		8		1		0.070853s
UMmap_Write		80m		10m		8		1		0.357996s
UMmap_Read		80m		10m		8		1		0.099517s
Write		80m		10m		0		2		0.20998s
Write		80m		10m		1		2		0.29447s
Write		80m		10m		2		2		0.192835s
Write		80m		10m		3		2		0.276072s
Write		80m		10m		4		2		0.253459s
Write		80m		10m		5		2		0.275915s
Write		80m		10m		6		2		0.260899s
Write		80m		10m		7		2		0.252476s
Total_Write		80m		10m		8		2		0.252013s
Read		80m		10m		8		0		0.266049s
Read		80m		10m		8		1		0.275293s
Total_Read		20m		10m		8		2		0.270671s
AIO_Write		80m		10m		8		2		0.504953s
AIO_Read		80m		10m		8		2		0.105467s
MMap_Write		80m		10m		8		2		0.388767s
MMap_Read		80m		10m		8		2		0.110109s
UMmap_Write		80m		10m		8		2		0.351567s
UMmap_Read		80m		10m		8		2		0.161171s
Write		80m		10m		0		4		0.268624s
Write		80m		10m		1		4		0.253093s
Write		80m		10m		2		4		0.241933s
Write		80m		10m		3		4		0.276639s
Write		80m		10m		4		4		0.27562s
Write		80m		10m		5		4		0.275243s
Write		80m		10m		6		4		0.279367s
Write		80m		10m		7		4		0.270019s
Total_Write		80m		10m		8		4		0.267567s
Read		80m		10m		8		0		0.274636s
Read		80m		10m		8		1		0.268969s
Read		80m		10m		8		2		0.266372s
Read		80m		10m		8		3		0.273519s
Total_Read		40m		10m		8		4		0.270874s
AIO_Write		80m		10m		8		4		0.483904s
AIO_Read		80m		10m		8		4		0.14557s
MMap_Write		80m		10m		8		4		0.35388s
MMap_Read		80m		10m		8		4		0.1361s
UMmap_Write		80m		10m		8		4		0.343084s
UMmap_Read		80m		10m		8		4		0.234713s
Write		80m		10m		0		6		0.291639s
Write		80m		10m		1		6		0.292721s
Write		80m		10m		2		6		0.203955s
Write		80m		10m		3		6		0.277542s
Write		80m		10m		4		6		0.278305s
Write		80m		10m		5		6		0.260421s
Write		80m		10m		6		6		0.276695s
Write		80m		10m		7		6		0.273678s
Total_Write		80m		10m		8		6		0.269369s
Read		80m		10m		8		0		0.253076s
Read		80m		10m		8		1		0.269319s
Read		80m		10m		8		2		0.26581s
Read		80m		10m		8		3		0.270453s
Read		80m		10m		8		4		0.280011s
Read		80m		10m		8		5		0.255236s
Total_Read		60m		10m		8		6		0.265651s
AIO_Write		80m		10m		8		6		0.471501s
AIO_Read		80m		10m		8		6		0.211657s
MMap_Write		80m		10m		8		6		0.394287s
MMap_Read		80m		10m		8		6		0.136782s
UMmap_Write		80m		10m		8		6		0.323088s
UMmap_Read		80m		10m		8		6		0.298838s
Write		80m		10m		0		8		0.278716s
Write		80m		10m		1		8		0.276681s
Write		80m		10m		2		8		0.223726s
Write		80m		10m		3		8		0.261989s
Write		80m		10m		4		8		0.279721s
Write		80m		10m		5		8		0.279622s
Write		80m		10m		6		8		0.278221s
Write		80m		10m		7		8		0.273639s
Total_Write		80m		10m		8		8		0.269039s
Read		80m		10m		8		0		0.275128s
Read		80m		10m		8		1		0.284572s
Read		80m		10m		8		2		0.275282s
Read		80m		10m		8		3		0.281591s
Read		80m		10m		8		4		0.281858s
Read		80m		10m		8		5		0.27161s
Read		80m		10m		8		6		0.269256s
Read		80m		10m		8		7		0.263105s
Total_Read		80m		10m		8		8		0.2753s
AIO_Write		80m		10m		8		8		0.527004s
AIO_Read		80m		10m		8		8		0.240723s
MMap_Write		80m		10m		8		8		0.3538s
MMap_Read		80m		10m		8		8		0.273098s
UMmap_Write		80m		10m		8		8		0.331764s
UMmap_Read		80m		10m		8		8		0.37187s
Write		100m		10m		0		1		0.269845s
Write		100m		10m		1		1		0.267743s
Write		100m		10m		2		1		0.223767s
Write		100m		10m		3		1		0.275465s
Write		100m		10m		4		1		0.268764s
Write		100m		10m		5		1		0.270727s
Write		100m		10m		6		1		0.271054s
Write		100m		10m		7		1		0.260313s
Write		100m		10m		8		1		0.267212s
Write		100m		10m		9		1		0.214124s
Total_Write		100m		10m		10		1		0.258901s
Read		100m		10m		10		0		0.25075s
Total_Read		10m		10m		10		1		0.25075s
AIO_Write		100m		10m		10		1		0.637275s
AIO_Read		100m		10m		10		1		0.039397s
MMap_Write		100m		10m		10		1		0.441511s
MMap_Read		100m		10m		10		1		0.078367s
UMmap_Write		100m		10m		10		1		0.460571s
UMmap_Read		100m		10m		10		1		0.105151s
Write		100m		10m		0		2		0.26232s
Write		100m		10m		1		2		0.25892s
Write		100m		10m		2		2		0.182843s
Write		100m		10m		3		2		0.270941s
Write		100m		10m		4		2		0.276727s
Write		100m		10m		5		2		0.28024s
Write		100m		10m		6		2		0.275825s
Write		100m		10m		7		2		0.279718s
Write		100m		10m		8		2		0.272981s
Write		100m		10m		9		2		0.278934s
Total_Write		100m		10m		10		2		0.263945s
Read		100m		10m		10		0		0.273332s
Read		100m		10m		10		1		0.273181s
Total_Read		20m		10m		10		2		0.273257s
AIO_Write		100m		10m		10		2		0.624449s
AIO_Read		100m		10m		10		2		0.076696s
MMap_Write		100m		10m		10		2		0.406404s
MMap_Read		100m		10m		10		2		0.112837s
